X,Y
0.003077015,1.526462521
9.516553598,0.141610911
5.720789813,7.794537772
2.432784265,1.866170618
5.749345611,6.491705271
0.852836336,8.082170084
8.888369767,3.429861545
4.735264229,1.700804046
8.325689465,5.983105155
7.006614994,2.577859003
9.244442961,7.224371206
9.696341783,4.621713692
4.467025175,7.707873889
9.495081145,7.111529754
5.672203722,1.878445922
7.317803239,6.278649668
9.770573127,1.79847617
7.671897832,6.691136854
2.405629074,0.340359145
1.065150665,1.882423418
4.530851214,0.320799825
6.46829851,8.349713033
9.62809423,8.575616513
5.929241172,4.437177856
7.374395186,2.035772293
3.238124358,9.353420943
4.625353151,3.480296449
6.416716696,4.474752027
3.028765203,5.036560659
3.188163925,8.645370981
4.762295221,4.986871703
0.900442707,0.003029633
4.81626821,2.974510482
4.78949203,0.093861212
0.751058271,1.806944704
2.69976308,0.500916471
3.057165278,2.577771912
3.027817502,4.517000037
6.184919631,0.087484544
2.779117006,4.430511166
4.365437402,9.509127233
4.520970207,6.145799662
1.112047709,2.854163648
1.159136289,6.572864775
0.383544178,8.052345838
8.045910791,8.802464724
9.6331284,1.962320274
4.293157068,2.033084177
1.401805205,8.071797744
0.54028255,5.144523441
0.995673532,6.853057976
8.28675858,3.26509102
0.42755381,5.577038905
9.900329076,6.671995101
5.683935854,4.761782635
2.749745081,1.266521419
3.755535716,9.655890936
8.820449538,2.098293115
7.016952596,6.236634645
9.874662045,8.225776265
2.555036023,2.424462042
1.614358117,1.30101602
1.581592676,5.722356969
6.528226952,6.97919783
4.314145418,6.471761774
8.681721853,2.502645157
9.918027991,0.683413055
9.730400873,6.808135459
6.625966996,3.58532494
0.090010491,9.283982069
1.251898683,5.039246666
7.797124898,2.467202487
0.468904193,2.659883828
3.142344708,9.33385892
0.725481733,7.336115527
1.061511976,7.664344361
3.586563613,7.867345368
5.351975646,7.200561041
8.266157603,8.143920685
4.131773251,7.207237433
2.884006819,8.001786701
5.325727775,3.890455389
2.807257265,5.451876186
7.315305095,1.63484948
6.554002372,1.102116352
7.99134038,2.45281763
1.81727598,9.439474731
7.014409595,8.56162737
9.593888292,3.475854694
5.527335761,2.008056492
5.486504223,0.525357087
0.638747185,7.15440596
6.024167246,6.034860012
9.24589692,6.594843134
1.396227115,7.776390487
9.467088616,8.30752003
7.212690977,8.54414363
7.612583624,8.682654765
6.571612864,7.404033996
9.055781315,1.618274273
0.148149408,7.346725631
0.503996594,6.180416346
9.427378199,3.16993317
3.922474933,7.96491386
6.240979068,2.935397097
1.980795716,7.490951609
0.646534267,5.378539638
9.666564218,3.069485986
2.358941706,2.876504674
4.629060604,1.818545593
4.525081506,5.928667215
7.324700174,5.987362524
1.258440154,9.283027331
0.503439864,3.28033912
4.044927546,3.160682029
7.730703075,9.852793033
5.583852348,5.851692346
5.12555572,3.166632674
0.575648493,7.157054097
3.709292903,9.488203907
8.572110529,7.784851268
6.481634462,0.801828984
9.358138811,7.52592056
0.665373184,9.252009722
0.007638423,8.065690916
2.097110723,1.506268024
2.651066963,8.76206185
9.213799579,2.605721645
2.532993659,6.106669093
1.651124277,1.332656586
2.552303863,2.589150864
4.267398422,8.6902969
1.569831317,3.441296803
4.611980544,4.07817718
5.610334786,8.046872976
9.17194191,0.408255294
9.016631151,6.526955206
2.573277132,9.675650871
8.537723236,1.632534344
7.249295845,5.645888409
4.514191157,1.404226895
0.830159586,8.067388814
9.938800936,6.724615761
7.630617388,1.981797307
1.011492292,0.32770203
6.818158439,2.533297668
1.262146097,3.531899265
4.419180316,9.445031532
0.13587576,1.693600061
0.714572881,5.732850832
5.313646552,1.77444747
7.527390628,3.463809844
5.501246753,0.054876818
7.065347151,9.759992755
4.110808626,5.882366029
0.889518394,3.960381389
2.303730072,1.124276392
5.052430763,1.532694641
7.160471724,7.40308876
1.089872833,5.535377776
3.190897129,5.393531051
2.016475033,2.189124207
0.203812137,6.492856285
6.915612149,4.606026254
7.502942799,9.926141662
0.472962222,5.713261288
1.986136325,6.399252233
6.456093634,5.990339935
9.432368902,7.731444663
5.215801046,6.781751535
8.726464673,6.616542921
6.205440788,5.105525046
7.957343644,1.61021305
2.683975878,4.662225271
3.255586152,8.129843407
6.984093962,1.857662966
3.04626926,6.325125316
3.123831223,8.88787565
5.184644077,4.754394478
7.511283366,8.582331047
6.957741107,7.685297126
3.134909796,8.738029941
5.631795963,7.789562059
0.277527171,2.314988609
1.300860215,1.91367489
3.014742734,2.158474824
3.491611399,7.276488368
1.143396493,0.583016137
2.058498202,5.117960245
5.143078798,7.357741462
8.772460165,2.685099047
1.060736528,9.100931576
5.211613808,8.58645406
2.960501174,1.028292058
8.372173078,1.543548804
6.214624408,6.771631527
8.603499779,9.330964422
8.289520584,4.157390262
4.727143889,5.291878933
4.766422743,9.075027726
